,NAME,ADJUSTMENT,HOLES,RELATIVE_PAR,SG_PUTTING,SG_OTT,SG_APR,SG_ARG,WINS,TOP_10S,1ST,2ND,3RD,YEAR,SCORE_AVERAGE,DRIVING_DISTANCE,DRIVING_ACCURACY,DRIVING_USAGE,GREENS_IN_REGULATION,TOTAL_SG
31,Graeme McDowell,-36.651,972.0,-0.29,-10.701,0.49,0.6409999999999999,-0.478,0.0,4.0,0.0,2.0,0.0,2012,70.22868518518518,285.5327102803738,0.701058201058201,0.11008230452674897,0.6625514403292181,0.6529999999999998
32,Henrik Stenson,-27.836,846.0,-0.25,4.416,0.343,0.297,0.16899999999999998,0.0,1.0,0.0,0.0,1.0,2012,70.23850980392157,289.5,0.6413373860182371,0.1111111111111111,0.6536643026004728,0.8089999999999999
33,Jonas Blixt,7.585,1260.0,-0.33,51.477,-0.1,-0.01,0.3670000000000001,0.0,3.0,1.0,0.0,2.0,2012,70.2442361111111,286.3071428571429,0.588957055214724,0.1111111111111111,0.6365079365079365,0.2570000000000001
34,Ryan Palmer,-25.585,1458.0,-0.28,32.168,0.485,0.258,-0.193,0.0,4.0,0.0,0.0,1.0,2012,70.25203703703704,303.0869565217391,0.5795053003533569,0.11042524005486969,0.6515775034293553,0.55
35,Seung-Yul Noh,-24.157,1746.0,-0.27,12.086,0.355,0.102,0.122,0.0,3.0,0.0,0.0,0.0,2012,70.25587128712871,300.3814432989691,0.5933579335793358,0.1111111111111111,0.6741122565864834,0.579
36,Charl Schwartzel,-30.848,972.0,-0.28,3.365,0.35600000000000004,0.445,0.039,0.0,2.0,0.0,0.0,0.0,2012,70.2805925925926,295.8130841121495,0.6140583554376657,0.11008230452674897,0.6265432098765432,0.8400000000000001
37,Ryan Moore,-21.334,1602.0,-0.3,34.312,0.163,0.27,-0.009000000000000001,0.0,7.0,1.0,0.0,1.0,2012,70.29961797752809,287.6327683615819,0.6575342465753424,0.1104868913857678,0.66354556803995,0.42400000000000004
38,Hunter Mahan,-54.647,1476.0,-0.24,-7.0,0.4,0.3720000000000001,-0.122,2.0,5.0,2.0,0.0,0.0,2012,70.34576829268293,293.1280487804878,0.6774193548387096,0.1111111111111111,0.6897018970189702,0.6500000000000001
39,Will Claxton,3.547,1710.0,-0.26,-14.351,0.524,0.318,-0.163,0.0,2.0,0.0,0.0,0.0,2012,70.3691616161616,290.4315789473684,0.6535849056603774,0.1111111111111111,0.6906432748538012,0.679
40,Ken Duke,1.081,1800.0,-0.28,31.447,0.019,0.309,-0.023,0.0,6.0,0.0,0.0,0.0,2012,70.37577884615385,282.61306532663315,0.6568557071069634,0.11055555555555556,0.6461111111111111,0.305
