,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,1ST,2ND,3RD,YEAR
43,Charles Howell III,98,"6,927",- 29.318,"57,448",195,748,"1,370","1,175","1,764",-0.25,4.1739999999999995,77,0.098,0.257,0.27,52.306999999999995,77,25.0,0.0,1.0,"6,893",,1.0,,2012
44,Scott Piercy,95,"6,697",- 8.103,"57,860",190,745,"1,329","1,124","1,710",-0.3,19.034000000000002,86,0.47600000000000003,0.20199999999999999,-0.042,73.686,86,27.0,1.0,3.0,"3,617",1.0,,1.0,2012
45,Greg Chalmers,87,"6,169",- 42.713,"48,787",173,752,"1,213",937,"1,566",-0.29,37.934,75,-0.335,0.012,0.45899999999999996,48.159,75,25.0,0.0,1.0,"6,224",,,,2012
46,Bob Estes,78,"5,532",- 39.383,"44,487",156,660,"1,087",876,"1,404",-0.26,4.782,65,-0.45399999999999996,0.396,0.34700000000000003,23.521,65,22.0,0.0,2.0,"6,568",,,,2012
47,Roberto Castro,90,"6,340",- .968,"49,981",172,785,"1,201","1,059","1,548",-0.24,3.583,75,0.244,0.03,0.26899999999999996,44.316,75,23.0,0.0,1.0,"6,854",,,,2012
48,Geoff Ogilvy,72,"5,111",- 39.642,"41,189",142,622,"1,003",825,"1,296",-0.26,13.062999999999999,55,0.158,0.168,0.127,37.991,55,20.0,0.0,1.0,"6,462",,,,2012
49,Greg Owen,90,"6,368",- 28.026,"53,268",180,755,"1,255","1,111","1,620",-0.25,-32.064,77,0.336,0.36700000000000005,0.012,22.947,77,23.0,0.0,2.0,"6,922",,,,2012
50,Bud Cauley,99,"6,982",- 6.646,"57,161",196,832,"1,379","1,186","1,782",-0.26,5.957000000000001,91,0.065,0.201,0.38799999999999996,65.568,91,26.0,0.0,6.0,"6,284",,,1.0,2012
51,Bill Haas,78,"5,519",- 21.271,"45,002",154,696,"1,094",915,"1,404",-0.25,6.303999999999999,61,0.47200000000000003,-0.18,0.273,40.74,61,23.0,1.0,3.0,"6,155",1.0,,,2012
52,Billy Horschel,59,"4,143",16.147,"31,918",110,512,769,681,990,-0.25,-3.258,48,0.546,0.027999999999999997,-0.11599999999999999,18.772000000000002,48,14.0,0.0,1.0,"7,337",,,1.0,2012
53,Kevin Stadler,81,"5,733",- 20.460,"45,114",154,701,"1,077",939,"1,386",-0.24,-18.428,70,0.35100000000000003,0.711,-0.359,30.744,70,24.0,0.0,5.0,"6,223",,,,2012
54,Ben Curtis,62,"4,382",- 8.631,"31,880",116,566,812,719,"1,044",-0.26,24.238000000000003,48,-0.044000000000000004,0.408,0.036000000000000004,43.485,48,16.0,1.0,3.0,"6,396",1.0,1.0,,2012
55,Martin Flores,95,"6,725",- 23.877,"54,877",186,696,"1,299","1,071","1,674",-0.26,53.826,82,0.077,-0.507,0.192,34.325,82,26.0,0.0,2.0,"7,064",,,,2012
56,Jimmy Walker,101,"7,136",- 9.857,"59,902",202,742,"1,407","1,169","1,818",-0.29,38.829,91,-0.243,0.105,0.258,49.758,91,26.0,0.0,4.0,"6,593",,,,2012
57,Freddie Jacobson,60,"4,301",- 67.319,"34,493",120,487,840,668,"1,080",-0.24,-6.3839999999999995,44,-0.071,0.306,0.02,4.812,44,16.0,0.0,1.0,"7,113",,,,2012
58,Chad Campbell,84,"5,950",- 22.429,"48,742",168,706,"1,173","1,015","1,512",-0.23,-31.015,73,-0.04,0.7509999999999999,-0.004,20.641,73,23.0,0.0,2.0,"7,109",,,1.0,2012
59,Nick Watney,94,"6,666",- 31.750,"55,800",188,774,"1,315","1,124","1,692",-0.27,-2.103,76,-0.016,0.586,-0.006999999999999999,40.721,76,25.0,1.0,4.0,"1,885",1.0,,,2012
60,Blake Adams,107,"7,576",- 23.304,"59,410",206,946,"1,437","1,222","1,854",-0.26,20.406,88,0.237,-0.055,-0.057,31.339000000000002,88,29.0,0.0,2.0,"6,952",,,,2012
61,Rickie Fowler,83,"5,911",- 50.711,"48,676",166,748,"1,161",971,"1,494",-0.26,-13.34,66,0.45799999999999996,0.228,0.034,34.166,66,23.0,1.0,5.0,"3,625",1.0,1.0,,2012
62,Sean O'Hair,84,"5,937",- 5.358,"49,980",168,706,"1,177","1,032","1,512",-0.27,-21.736,76,0.255,0.25,0.149,27.945999999999998,76,21.0,0.0,2.0,"6,882",,1.0,,2012
63,John Rollins,77,"5,448",- 10.382,"45,487",154,690,"1,074",917,"1,386",-0.26,-2.404,71,0.627,-0.26899999999999996,0.107,30.634,71,23.0,0.0,5.0,"6,826",,,1.0,2012
64,Graham DeLaet,79,"5,594",- 14.709,"45,649",150,632,"1,047",901,"1,350",-0.25,-19.707,71,0.5,0.33399999999999996,-0.23399999999999999,22.88,71,23.0,0.0,3.0,"6,541",,,,2012
65,Kyle Stanley,84,"5,965",- 31.819,"51,249",167,699,"1,175","1,014","1,512",-0.27,-55.77,70,0.7859999999999999,0.439,-0.043,26.906999999999996,70,27.0,1.0,2.0,"6,134",1.0,1.0,,2012
66,Kevin Na,79,"5,599",- 18.875,"44,484",158,727,"1,103",882,"1,422",-0.28,12.574000000000002,65,-0.255,0.301,0.20600000000000002,28.944000000000003,65,24.0,0.0,6.0,"6,531",,,,2012
67,Harris English,98,"6,947",- 19.581,"58,851",196,813,"1,367","1,195","1,764",-0.26,15.234000000000002,87,0.28600000000000003,-0.038,-0.124,25.984,87,24.0,0.0,3.0,"6,864",,,,2012
68,Tim Clark,60,"4,266",- 24.193,"32,645",118,600,838,694,"1,080",-0.24,-6.0489999999999995,50,0.285,0.151,-0.013999999999999999,15.048,50,19.0,0.0,3.0,"6,561",,1.0,,2012
