,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
159,Tom Hoge,90,"6,373",71.711,"49,956",172,777,"1,257","1,066","1,620",-0.26,-20.476,72,-.179,.381,-.163,-17.694,72,,,,,,,,,2019
160,Robert Streb,72,"5,096",61.302,"41,568",144,613,"1,006",857,"1,296",-0.26,-14.217,60,-.256,-.053,.122,-25.412,60,28,0,2,0,,,,1,2019
161,Chris Stroud,62,"4,400",41.906,"35,938",124,503,863,703,"1,116",-0.28,1.165,52,-.557,-.229,.035,-37.920,52,26,0,4,0,,,1,,2019
162,David Hearn,47,"3,324",45.765,"26,258",94,458,655,571,846,-0.27,-5.323,34,-.158,.009,-.309,-20.902,34,,,,,,,,,2019
163,Anirban Lahiri,69,"4,900",47.176,"37,723",130,578,962,782,"1,242",-0.28,6.873,59,-.431,-.298,-.139,-44.370,59,,,,,,,,,2019
164,Joey Garber,57,"4,033",54.653,"33,502",114,497,795,681,"1,026",-0.25,-10.074,43,.191,-.501,-.140,-29.424,43,,,,,,,,,2019
165,J.B. Holmes,71,"5,054",39.198,"38,648",126,561,993,838,"1,278",-0.27,-36.084,48,.210,.079,.012,-21.587,48,25,1,2,0,,1,,,2019
166,Jim Herman,48,"3,402",42.008,"27,680",96,470,670,572,864,-0.27,-5.854,38,.203,-.110,-.325,-14.674,38,21,1,1,0,,1,,,2019
167,Sangmoon Bae,54,"3,831",44.129,"32,026",108,463,753,629,972,-0.26,8.680,40,.020,-.568,-.302,-25.340,40,,,,,,,,,2019
168,Anders Albertson,64,"4,524",69.421,"37,530",128,538,895,780,"1,152",-0.24,-15.974,52,-.265,.165,-.113,-27.027,52,,,,,,,,,2019
169,Ollie Schniederjans,75,"5,325",65.476,"43,513",142,508,"1,048",849,"1,350",-0.31,8.996,61,-.285,-.308,-.025,-28.722,61,,,,,,,,,2019
170,Brendan Steele,62,"4,412",45.351,"32,672",108,595,866,781,"1,116",-0.24,-25.647,51,.518,-.316,-.228,-27.037,51,,,,,,,,,2019
171,Brady Schnell,51,"3,624",45.132,"28,898",102,481,713,592,918,-0.26,2.539,39,-.439,-.318,-.071,-29.748,39,,,,,,,,,2019
172,Hunter Mahan,59,"4,192",52.958,"34,894",118,540,823,725,"1,062",-0.28,4.772,47,.262,-.563,-.574,-36.371,47,,,,,,,,,2019
173,Freddie Jacobson,51,"3,640",29.620,"29,101",102,431,711,580,918,-0.27,5.671,40,-.639,-.151,-.178,-33.045,40,,,,,,,,,2019
174,Curtis Luck,59,"4,197",51.056,"34,154",118,459,821,663,"1,062",-0.28,19.604,44,-.546,-.847,-.157,-48.583,44,,,,,,,,,2019
175,Seamus Power,72,"5,129",56.883,"42,608",144,566,"1,006",806,"1,296",-0.26,3.529,62,-.247,-.676,.147,-44.564,62,27,0,2,0,,,,,2019
176,Alex Cejka,50,"3,564",39.818,"27,796",100,467,695,580,900,-0.22,-19.269,40,-.092,-.014,-.257,-33.767,40,,,,,,,,,2019
177,Kyle Jones,66,"4,692",65.227,"37,484",132,632,921,784,"1,188",-0.23,-11.701,54,-.030,-.403,.016,-34.238,54,,,,,,,,,2019
178,Cody Gribble,66,"4,716",42.344,"39,236",132,494,921,732,"1,188",-0.31,-1.902,58,-.374,-.427,-.193,-59.569,58,,,,,,,,,2019
179,J.J. Henry,52,"3,717",34.007,"30,035",104,473,727,624,936,-0.17,-26.941,41,-.099,-.273,-.163,-48.871,41,,,,,,,,,2019
180,Seth Reeves,67,"4,766",68.443,"41,733",134,535,935,806,"1,206",-0.27,-25.149,53,.343,-.941,-.366,-76.265,53,,,,,,,,,2019
181,"Ted Potter, Jr.",71,"5,067",60.228,"35,451",126,629,995,848,"1,278",-0.27,-12.987,60,-.253,-.140,-.335,-56.634,60,23,0,1,0,,,,,2019
182,Rod Pampling,52,"3,722",37.822,"27,496",96,455,725,599,936,-0.22,-32.621,41,-.187,-.473,.278,-48.264,41,,,,,,,,,2019
183,Martin Trainer,61,"4,381",31.917,"37,069",122,432,851,664,"1,098",-0.29,-2.036,50,-.075,-1.378,.063,-71.534,50,25,1,1,0,,1,,,2019
184,Whee Kim,69,"4,934",66.703,"34,680",122,599,965,822,"1,242",-0.25,1.995,47,-1.035,-.217,-.080,-60.620,47,,,,,,,,,2019
185,John Chin,54,"3,854",60.190,"32,399",108,439,755,668,972,-0.24,-12.096,38,-.112,-.760,-.366,-59.101,38,,,,,,,,1,2019
186,Satoshi Kodaira,64,"4,613",44.913,"31,617",112,606,896,732,"1,152",-0.25,-25.717,51,-.311,-.399,-.414,-83.019,51,,,,,,,,,2019
187,Michael Kim,59,"4,305",35.554,"28,489",102,438,827,638,"1,062",-0.23,-8.333,45,-1.556,-.545,.150,-96.090,45,,,,,,,,,2019
