,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
175,Graeme McDowell,48,"3,439",10.563,"24,416",86,418,674,547,864,-0.26,-8.198,37,-.586,.122,-.103,-29.154,37,16,0,1,0,,,,,2020
176,Arjun Atwal,31,"2,196",31.869,"17,760",62,288,433,371,558,-0.24,-10.953,20,-.315,-.377,.238,-20.042,20,,,,,,,,,2020
177,Andrew Putnam,46,"3,278",28.061,"18,894",68,365,640,528,828,-0.25,26.925,32,-1.121,-.495,-.246,-32.657,32,16,0,1,0,,,,,2020
178,"Ted Potter, Jr.",44,"3,127",35.592,"25,537",88,373,615,546,792,-0.24,-15.900,34,-.378,.110,-.148,-30.018,34,,,,,,,,,2020
179,Jimmy Walker,46,"3,314",- 5.343,"27,418",92,301,643,515,828,-0.27,-14.318,41,-.909,.444,-.031,-34.675,41,,,,,,,,,2020
180,Kevin Tway,48,"3,434",21.639,"21,873",72,333,668,541,864,-0.26,-12.211,35,-.422,-.350,.107,-35.454,35,,,,,,,,,2020
181,Zack Sucher,36,"2,557",35.202,"21,712",72,268,503,443,648,-0.26,-6.083,24,.127,-.403,.148,-9.151,24,,,,,,,,,2020
182,Jim Herman,60,"4,309",12.345,"34,266",120,584,843,693,"1,080",-0.22,-12.504,52,.210,-.438,-.431,-46.834,52,21,1,1,0,,1,,,2020
183,Michael Gellerman,42,"2,983",42.996,"24,656",84,367,587,516,756,-0.26,5.833,30,-.404,.088,-.403,-15.755,30,,,,,,,,,2020
184,Bill Haas,44,"3,121",49.628,"25,894",88,377,615,550,792,-0.22,-36.320,34,-.133,-.128,.265,-36.167,34,,,,,,,,,2020
185,J.J. Spaun,58,"4,134",45.844,"34,498",116,469,811,689,"1,044",-0.28,-5.902,48,-.057,-.266,-.214,-31.688,48,,,,,,,,,2020
186,Rhein Gibson,50,"3,559",45.364,"29,783",100,363,699,587,900,-0.28,14.703,34,-.888,-.757,.342,-29.591,34,,,,,,,,,2020
187,Sebastian Cappelen,53,"3,777",44.603,"32,192",106,379,741,614,954,-0.27,1.912,35,-.293,-.862,.010,-38.165,35,,,,,,,,,2020
188,Dominic Bozzelli,36,"2,568",33.988,"21,531",72,260,503,408,648,-0.33,12.003,24,-.839,-.393,-.230,-23.103,24,,,,,,,,,2020
189,Nelson Ledesma,40,"2,866",37.145,"23,852",80,285,559,451,720,-0.28,-1.490,24,-.704,-.645,-.424,-44.037,24,,,,,,,,,2020
190,Matt Every,45,"3,234",32.485,"26,309",90,365,629,527,810,-0.28,-26.070,41,-.335,-.400,-.395,-72.388,41,,,,,,,,,2020
191,Bo Van Pelt,43,"3,125",39.191,"25,082",86,356,601,504,774,-0.22,-24.281,31,-.568,-1.060,-.048,-76.245,31,,,,,,,,,2020
192,Martin Trainer,46,"3,416",27.774,"27,795",92,311,647,431,828,-0.25,-12.658,39,-.760,-2.115,-.253,-134.688,39,,,,,,,,,2020
