,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money,driving_ranking,best_putters,best_approachers,best_pw,Predictive_Ranking
25,Shane Lowry,52,64.86,2017,295.1,67.53,29.53,55.51,70.667,361,0,1,0.479,1.088,0.5820000000000001,0.231,-0.27699999999999997,831411,202,353,253,25,369.00833700000004
51,Robert Garrigus,80,56.37,2018,307.9,65.28,29.2,56.84,71.457,353,0,1,-0.569,-0.213,0.21,0.331,-0.18600000000000005,702030,350,9,288,51,368.74575
354,Bill Haas,76,57.27,2018,296.2,64.79,29.23,60.34,71.028,262,0,1,-0.059000000000000004,0.079,-0.177,-0.052000000000000005,0.368,638414,223,130,133,354,367.96753
360,Cameron Tringale,89,58.15,2017,280.9,64.39,28.9,58.83,71.343,337,0,3,0.125,-0.14,-0.75,0.08900000000000001,0.396,792814,28,228,201,360,367.208169
376,Matt Jones,64,57.09,2017,302.6,63.1,28.7,63.17,70.719,248,0,0,0.17,0.278,0.073,-0.46799999999999997,0.503,510622,309,248,23,376,366.749002
36,Kevin Chappell,77,61.27,2018,308.6,66.52,29.64,56.28,70.839,597,0,4,-0.344,0.32299999999999995,0.608,0.29600000000000004,-0.23600000000000002,1608338,354,47,276,36,366.157791
54,Sung Kang,104,59.65,2017,296.4,66.07,29.08,56.98,70.49600000000002,798,0,3,0.154,0.478,0.255,0.251,-0.182,1943309,225,239,263,54,365.799833
359,Zac Blair,64,62.76,2018,279.5,66.48,28.97,61.43,71.215,176,0,0,0.203,0.32299999999999995,-0.345,0.07200000000000001,0.39399999999999996,330507,18,260,192,359,365.278195
313,Zach Johnson,81,66.54,2017,286.8,64.16,28.52,60.08,70.393,839,0,4,0.41700000000000004,0.584,-0.005,-0.006999999999999999,0.226,2362968,72,337,158,313,365.167084
30,J.J. Spaun,85,66.18,2018,298.2,69.48,29.63,55.76,70.525,849,0,4,-0.149,0.292,0.28600000000000003,0.41,-0.255,1978906,250,100,316,30,364.75744
297,Andres Gonzales,73,55.75,2017,299.2,67.71,29.06,61.85,71.112,226,0,1,0.023,0.02,-0.10400000000000001,-0.08900000000000001,0.19,422078,269,179,116,297,364.292219
117,Retief Goosen,60,55.22,2018,296.2,61.75,29.12,56.98,71.40899999999998,261,0,1,-0.41100000000000003,-0.4970000000000001,-0.392,0.389,-0.083,545364,222,31,307,117,364.258057
350,Jonathan Byrd,70,58.59,2018,291.7,68.19,29.5,58.31,71.398,147,0,0,-0.106,-0.266,-0.542,0.043,0.33899999999999997,267055,143,113,181,350,363.295199
83,Chez Reavie,93,72.24,2018,286.5,68.67,29.12,62.27,70.432,1020,0,3,0.192,0.674,0.183,0.4370000000000001,-0.13699999999999998,2700018,68,254,325,83,362.66112799999996
305,Cameron Percy,56,63.66,2018,295.6,69.56,29.36,57.3,70.90899999999998,191,0,2,-0.205,0.285,0.24100000000000002,0.039,0.21,387612,212,79,180,305,362.171248
164,Patton Kizzire,84,52.54,2017,293.0,63.52,29.09,54.31,71.598,519,0,3,-0.10300000000000001,-0.578,-0.7440000000000001,0.29,-0.021,1110395,166,115,274,164,361.283141
287,Austin Cook,107,66.76,2018,292.3,66.51,28.72,62.02,70.469,1060,1,3,0.315,0.569,0.12,-0.045,0.179,2448920,156,296,136,287,361.21608499999996
179,Keegan Bradley,104,66.23,2017,299.4,68.93,29.36,59.49,70.437,794,0,5,-0.21600000000000005,0.629,0.625,0.139,0.004,1940478,270,75,217,179,358.020389
341,Robert Streb,98,57.58,2017,294.3,65.19,29.13,58.91,70.7,577,0,2,0.003,0.078,-0.159,-0.07200000000000001,0.305,1588287,189,170,127,341,355.69661900000006
9,Hudson Swafford,94,60.27,2017,305.1,68.21,29.49,55.53,70.618,921,1,4,-0.005,0.314,0.45399999999999996,0.20199999999999999,-0.337,2246090,333,165,242,9,355.13205500000004
232,Nate Lashley,51,60.58,2018,293.9,68.2,29.32,60.59,70.999,168,0,0,0.08199999999999999,0.31,0.111,0.036000000000000004,0.08,296650,182,210,177,232,353.862281
90,Brandon Harkins,101,54.79,2018,303.1,65.67,28.86,55.88,70.721,528,0,3,0.225,0.275,0.18100000000000002,-0.006,-0.124,1148115,317,267,160,90,352.799326
47,Brendan Steele,74,60.47,2018,310.3,69.24,30.36,52.56,71.021,998,1,3,-0.5760000000000001,0.028999999999999998,0.557,0.243,-0.195,2291128,363,7,261,47,352.65094
93,Mackenzie Hughes,80,60.04,2018,294.9,66.01,29.37,54.19,71.282,227,0,1,-0.177,-0.013999999999999999,-0.068,0.353,-0.122,518476,197,89,295,93,351.776116
