,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money
299,Mackenzie Hughes,106,59.63,2017,294.3,64.74,29.07,58.64,71.044,974,1,2,0.4920000000000001,0.172,0.021,-0.404,0.063,2355553
300,Harold Varner III,101,59.61,2017,302.4,67.68,29.69,56.94,70.96600000000002,375,0,1,-0.402,0.109,0.262,0.33,-0.081,918779
301,Bubba Watson,71,59.58,2017,305.6,63.02,29.28,55.67,71.175,397,0,3,-0.187,0.116,0.647,-0.175,-0.201,1223129
302,Robert Garrigus,78,59.52,2017,300.7,69.52,29.46,54.94,70.712,448,0,3,-0.456,0.253,0.422,0.477,-0.19,880905
303,Jordan Spieth,85,59.48,2017,295.0,69.97,28.34,61.75,68.846,2671,3,8,0.278,1.988,0.321,0.8959999999999999,0.429,9433033
304,Scott Piercy,70,59.32,2017,295.1,66.84,29.38,50.0,71.235,532,0,4,-0.526,-0.214,0.19,0.311,-0.25,1317452
305,Chad Collins,66,59.31,2017,281.4,60.93,28.47,63.07,71.77,305,0,2,0.079,-0.454,-0.573,-0.254,0.294,693743
306,Jason Kokrak,95,59.26,2017,305.7,66.97,29.99,54.9,70.961,490,0,1,-0.405,0.073,0.607,0.077,-0.226,1173708
307,J.T. Poston,95,59.24,2017,294.8,65.69,28.79,59.62,70.982,340,0,1,-0.117,0.079,0.156,0.053,-0.062,662565
308,Gary Woodland,94,58.9,2017,306.9,69.35,29.76,58.21,70.482,1052,0,5,-0.381,0.6920000000000001,0.431,0.5710000000000001,0.039,2980225
309,Jon Rahm,90,58.61,2017,305.8,68.79,28.81,63.74,69.561,1754,1,7,0.256,1.871,0.949,0.515,0.057,6123248
310,Justin Rose,66,58.48,2017,300.4,68.19,29.15,59.44,69.699,996,0,4,-0.063,1.268,0.5589999999999999,0.363,0.373,4245308
311,Brian Campbell,55,58.2,2017,296.0,63.29,28.63,56.68,71.92399999999998,132,0,0,0.385,-0.428,0.063,-0.75,-0.126,237537
312,Branden Grace,70,58.19,2017,290.6,66.2,29.36,61.28,70.862,510,0,2,-0.248,0.28300000000000003,0.18,0.173,0.165,1315054
313,Tag Ridings,67,58.18,2017,301.6,65.91,29.19,57.73,71.176,237,0,1,0.203,0.03,0.295,-0.35600000000000004,-0.111,489927
314,Cameron Tringale,89,58.15,2017,280.9,64.39,28.9,58.83,71.343,337,0,3,0.125,-0.14,-0.75,0.08900000000000001,0.396,792814
315,Bill Haas,92,58.05,2017,292.3,67.28,29.09,63.1,70.01100000000001,946,0,3,0.055,0.763,-0.047,0.399,0.516,2842173
316,Bryson DeChambeau,91,58.04,2017,299.1,65.77,29.15,57.65,70.866,836,1,2,-0.193,0.243,0.42,-0.02,-0.016,1817054
317,Wesley Bryan,95,57.89,2017,279.6,60.92,28.12,61.5,71.062,1046,1,5,0.34,0.16699999999999998,-0.899,0.421,0.141,2495751
318,Retief Goosen,52,57.79,2017,291.8,63.89,29.09,60.2,71.425,205,0,1,-0.425,-0.39,-0.001,0.009000000000000001,0.027000000000000003,414363
